"","neon_region","year","month","pdsi_wt","temp_wt","dpt_wt","vpd_wt","prec_wt","soil_wt"
"1",1,2005,1,2.93396564813233,-5.04850843595838,-8.98972386290517,2.51793403537747,122.327392980585,35.5744887843214
"2",1,2005,2,3.08518416012112,-2.48206282700046,-7.65763584393474,4.11222594447654,62.2364619695246,36.1522126464076
"3",1,2005,3,2.73328677872068,-0.721039656949114,-6.31934439492358,4.56445022426603,100.384287930787,35.5008836416203
"4",1,2005,4,2.73572116927277,9.18335744261044,-0.0369248763423901,12.8486617354951,119.40997827537,33.3287169137193
"5",1,2005,5,2.48325283253716,11.5723151686414,4.82805846664864,11.9919615036936,75.5443223813176,31.5432451168092
"6",1,2005,6,2.05328373651767,21.0100975942392,15.2863933120341,18.7436725855302,84.4045216549883,30.0307048065362
"7",1,2005,7,1.67826496025962,22.5863873066101,16.9666702434454,19.3986430324675,93.606187888181,29.0708990308751
"8",1,2005,8,0.923532303790334,22.3685172587713,16.495696223773,20.4117745507781,82.1877218524457,25.3958194986227
"9",1,2005,9,-0.116241433403505,18.6298147632213,12.9029220664878,17.6329600395701,70.8211012886225,23.9881153639132
"10",1,2005,10,-0.387025363736126,11.0686386830064,7.05048384889193,7.8662117413066,255.356319147761,29.0588384218577
"11",1,2005,11,1.22971806939357,5.78072563546826,0.0201222577717055,7.57772343654736,119.993397817494,31.3759599841534
"12",1,2005,12,1.63409937265338,-2.84071074422937,-6.99132493922721,2.91092410412285,84.4583528977729,33.8534706992156
"13",1,2006,1,1.93222117918755,0.72448411311864,-3.54433475715805,3.96024148991494,121.66994359307,34.1346989455724
"14",1,2006,2,2.28136338021252,-2.00114371908445,-8.05554640745452,4.11101905911408,55.7716415891141,32.9024163403701
"15",1,2006,3,1.68889371084642,1.7865922687951,-5.92037604638234,6.41260899086183,31.9667578312139,31.7307357124077
"16",1,2006,4,0.648321722812702,9.37409518963785,0.918714533618111,12.1548156734886,85.09642901365,31.2434035925967
"17",1,2006,5,-0.0629188727323891,14.0393077169458,7.08765778369862,13.5090074637416,133.79075491831,30.7433346207095
"18",1,2006,6,0.466963162646525,19.1481507400645,14.1078761421823,14.3217030305527,203.878844500162,31.0172531850307
"19",1,2006,7,1.27939904969114,22.8520280949513,17.4836780725288,18.4850382073664,114.692157969787,30.0959437205685
"20",1,2006,8,1.66211047084554,20.9372813402827,15.1768567234139,18.07609558032,102.919759709374,28.3802319306727
"21",1,2006,9,1.86061180262818,15.9400979051365,11.660710688414,10.9408110773731,101.141568160992,29.363782770886
"22",1,2006,10,2.04079595233836,9.75613680180568,4.49260636095057,8.59974486309934,155.428755959667,30.5131090240742
